pb190,pe021,pl016,rl060,ph050,pb030,rl020,rb240,ph010,pd050,pl040b,pl040a,py080g,pl090,m_k,py020g,pd020,ph060,rl050,pl100,pl145,rb230,ph020,rl010,pl141,pd060,ap,pl060,rb220,hb030,pl051b,pl051a,py130g,py110g,py021g,pe041,py035g,py100g,pd030,rl040,pl111b,ph070,pl111a,pl073,pl150,pl271,pl074,pd070,pl075,py090n,ph030,pl032,pl076,pb205,py050n,py010n,pb200,py090g,sl,py050g,py030g,py010g,pe010,rb090,rb050,pl088,pl089,pl200,rl030,pd080,pl085,ph040,pl086,pl087,pl080,py120n,py140g,objectid,age,py120g
2,,,,,1000310002,,1000310001,,3,,3,0,0,1,0,1,2,,,1,,2,,21,3,10,45,,10003100,,21,0,0,0,700,81,0,1,,,,18,12,2,0,0,3,0,628.32,3,1,0,1,0,30246.36,1,628.32,1,0,884.9,49994.01,2,1,121.59641,0,0,14,,1,0,,0,0,0,0,628.32,30,36,0
,,,0,,1000310003,24,,,,,,,,1,,,,0,,,1000310001,,,,,10,,1000310002,10003100,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,2,121.59641,,,,16,,,,,,,,,31,7,
,,,0,,1000310004,,,,,,,,,1,,,,0,,,1000310001,,40,,,10,,1000310002,10003100,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,2,121.59641,,,,0,,,,,,,,,32,5,
4,,3,,,1000350001,,,4,2,3,,0,0,1,0,3,,,,,,1,,,2,10,,,10003500,91,,0,0,0,200,0,7753.02,3,,,,,0,,,0,1,0,0,1,3,0,2,0,0,3,0,1,0,0,0,2,2,89.05961,0,0,42,,3,12,2,0,0,0,0,0,33,83,0
5,,,,,1000380001,,,3,1,,3,0,0,1,0,1,,,,1,,1,,21,2,10,40,,10003800,,54,5055.72,0,0,600,0,0,1,,,,17,0,2,0,0,1,0,0,3,1,0,2,0,0,3,0,1,0,0,0,2,1,250.48222,0,0,,,1,0,2,12,0,0,0,0,34,47,0
1,60,,,,1000400001,,,2,1,,3,0,0,1,0,1,,,,1,1000400004,2,,11,2,10,40,1000400002,10004000,,,0,0,0,344,0,0,1,,,,,12,2,0,0,2,0,0,3,1,0,2,0,4000,3,0,1,0,78.55,4885.08,1,2,94.27108,0,0,1,,1,0,,0,0,0,0,0,35,20,0
2,,,,,1000400002,,1000400004,3,2,,3,0,0,1,0,2,,,,2,,1,,21,2,10,20,,10004000,,91,5666.64,0,0,450,0,0,1,,,,26,0,2,0,12,2,0,0,3,1,0,1,0,8208.93,1,0,1,0,180.49,10197.36,2,1,94.27108,0,0,35,,1,0,2,0,0,0,0,0,36,63,0
2,,,,,1000400004,,1000400002,,2,,2,0,0,1,0,1,2,,,1,,1,,,2,10,40,,10004000,,91,0,0,0,700,45.11,0,1,,,,81,0,,0,0,1,12,0,3,1,0,1,7804.96,0,1,0,1,10648.5,0,0,2,2,94.27108,0,0,,,1,0,2,0,0,0,0,0,37,53,0
2,,,,,1000410001,,1000410002,2,1,,3,0,0,1,0,1,,,,1,,2,,21,3,10,40,,10004100,,33,0,0,0,600,714.4,0,1,,,,84,12,2,0,0,1,0,0,3,1,0,1,0,14846.24,1,0,1,0,421.5,23813.24,2,2,107.87028,0,0,27,,1,0,2,0,0,0,0,0,38,49,0
2,,,,,1000410002,,1000410001,,1,,3,0,0,1,0,1,,,,1,,2,,21,3,10,40,,10004100,,31,0,0,0,600,1002.75,0,1,,,,71,12,2,0,0,1,0,0,3,1,0,1,0,20222.11,1,0,1,0,591.62,33424.93,2,1,107.87028,0,0,29,,1,0,2,0,0,0,0,0,39,51,0
